epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,377.868,0.87332,0.917,1.13048,0.3704,0.31057,0.31144,0.1447,1.05934,2.19493,1.35049,0.000250443,0.000250443,0.000250443
95,381.999,0.84296,0.83265,1.10535,0.40751,0.32256,0.30801,0.14907,1.08426,2.11676,1.37671,0.00024226,0.00024226,0.00024226
96,385.765,0.81413,0.88291,1.11532,0.47759,0.37482,0.34851,0.14755,1.06987,1.8799,1.3874,0.000234337,0.000234337,0.000234337
97,389.476,0.85094,0.8738,1.0946,0.46117,0.36103,0.34148,0.16029,1.03829,1.77886,1.37102,0.00022668,0.00022668,0.00022668
98,393.37,0.82196,0.85366,1.10603,0.45855,0.37139,0.34722,0.17251,0.99688,1.59558,1.35123,0.000219294,0.000219294,0.000219294
99,397.052,0.84382,0.90614,1.13213,0.47854,0.39486,0.35553,0.18274,0.92916,1.40214,1.27839,0.000212184,0.000212184,0.000212184
100,400.798,0.85353,0.82375,1.11615,0.39084,0.40998,0.33769,0.16317,0.87951,1.51969,1.23982,0.000205355,0.000205355,0.000205355
101,404.653,0.81168,0.8599,1.10667,0.35753,0.39362,0.31816,0.1505,0.88612,1.62037,1.26558,0.000198812,0.000198812,0.000198812
102,408.664,0.81663,0.86131,1.09955,0.36786,0.40184,0.32849,0.15662,0.92046,1.5761,1.28308,0.000192559,0.000192559,0.000192559
103,412.347,0.82052,0.89202,1.10892,0.3897,0.34362,0.33996,0.17277,0.94354,1.57192,1.29658,0.0001866,0.0001866,0.0001866
104,416.135,0.78398,0.81337,1.09002,0.39926,0.3845,0.35919,0.17057,0.97642,1.51435,1.3365,0.00018094,0.00018094,0.00018094
105,420.233,0.81657,0.85796,1.09488,0.45023,0.36154,0.36515,0.1755,0.99372,1.56567,1.35802,0.000175582,0.000175582,0.000175582
106,423.964,0.79836,0.7572,1.07529,0.43033,0.36482,0.36114,0.16392,0.99534,1.74716,1.34659,0.000170531,0.000170531,0.000170531
107,427.676,0.81199,0.812,1.08994,0.39529,0.35242,0.32242,0.13556,1.04353,2.0005,1.4108,0.000165789,0.000165789,0.000165789
108,431.576,0.80589,0.77825,1.07066,0.48633,0.36451,0.35615,0.15456,0.97556,1.9362,1.37347,0.000161359,0.000161359,0.000161359
109,435.247,0.80645,0.79026,1.07925,0.4579,0.37914,0.36892,0.16303,0.93543,1.62809,1.33035,0.000157246,0.000157246,0.000157246
110,438.936,0.81941,0.77749,1.07991,0.46329,0.33562,0.35762,0.16501,0.94722,1.48843,1.33708,0.000153451,0.000153451,0.000153451
111,445.016,0.76991,0.74936,1.06567,0.4825,0.35858,0.35939,0.16603,0.96149,1.42619,1.33264,0.000149977,0.000149977,0.000149977
112,448.8,0.76053,0.71411,1.05012,0.49377,0.35962,0.35776,0.17359,0.95951,1.4495,1.31634,0.000146827,0.000146827,0.000146827
113,452.5,0.77499,0.70887,1.05418,0.49049,0.35962,0.36027,0.17396,0.96247,1.47854,1.32818,0.000144002,0.000144002,0.000144002
114,456.331,0.75155,0.72343,1.05681,0.49413,0.35629,0.34951,0.16483,0.9601,1.50325,1.33242,0.000141506,0.000141506,0.000141506
115,460.207,0.75892,0.72637,1.05268,0.53896,0.35806,0.34958,0.17304,0.9557,1.50479,1.33572,0.000139338,0.000139338,0.000139338
116,463.982,0.75,0.72213,1.04403,0.55154,0.34084,0.3311,0.1706,0.95491,1.45684,1.35388,0.000137502,0.000137502,0.000137502
117,467.762,0.73212,0.69589,1.04042,0.55328,0.34709,0.33909,0.18714,0.95338,1.41774,1.3399,0.000135998,0.000135998,0.000135998
118,471.71,0.72963,0.67222,1.05281,0.53965,0.34573,0.34073,0.18864,0.96052,1.42577,1.35575,0.000134827,0.000134827,0.000134827
119,475.41,0.73359,0.69961,1.03348,0.53198,0.34538,0.34867,0.18468,0.97269,1.43066,1.3733,0.00013399,0.00013399,0.00013399
